1X2910Y910,2910,0910,1,45 Francis
1X2910Y890,2910,0890,1,45 Francis
1X2925Y910,2925,0910,1,45 Francis
1X2960Y900,2960,0900,1,45 Francis
1X2950Y745,2950,0745,1,45 Francis
1X2950Y730,2950,0730,1,45 Francis
1X2950Y705,2950,0705,1,45 Francis
1X3050Y730,3050,0730,1,45 Francis
1X3100Y890,3100,0890,1,45 Francis
1X3200Y880,3200,0880,1,45 Francis
1X3230Y880,3230,0880,1,45 Francis
1X3270Y875,3270,0875,1,45 Francis
1X3325Y870,3325,0870,1,45 Francis
1X2770Y980,2770,0980,1,45 Francis
1X2925Y980,2925,0980,1,45 Francis
1X2985Y980,2985,0980,1,45 Francis
1X3085Y980,3085,0980,1,45 Francis
1X3085Y1000,3085,1000,1,45 Francis
1X2925Y1050,2925,1050,1,45 Francis
1X2770Y1070,2770,1070,1,45 Francis
1X2790Y1070,2790,1070,1,45 Francis
1X2790Y1155,2790,1155,1,45 Francis
1X2790Y1190,2790,1190,1,45 Francis
1X2790Y1290,2790,1290,1,45 Francis
1X2790Y1380,2790,1380,1,45 Francis
1X2790Y1460,2790,1460,1,45 Francis
1X2670Y1380,2670,1380,1,45 Francis
1X2605Y1380,2605,1380,1,45 Francis
1X2605Y1340,2605,1340,1,45 Francis
1X2835Y1460,2835,1460,1,45 Francis
1X2760Y1460,2760,1460,1,45 Francis
1X2760Y1405,2760,1405,1,45 Francis
1X2055Y910,2055,0910,1,Tower
1X2026Y910,2026,0910,1,Tower
1X2026Y892,2026,0892,1,Tower
1X2017Y910,2017,0910,1,Tower
1X2017Y799,2017,0799,1,Tower
1X1973Y910,1973,0910,1,Tower
1X1973Y844,1973,0844,1,Tower
1X1950Y910,1950,0910,1,Tower
1X1950Y871,1950,0871,1,Tower
1X1869Y930,1869,0930,1,Tower
1X1758Y930,1758,0930,1,Tower
1X1758Y850,1758,0850,1,Tower
1X1627Y825,1627,0825,1,Tower
1X1627Y850,1627,0850,1,Tower
1X1627Y802,1627,0802,1,Tower
1X1673Y802,1673,0802,1,Tower
1X1627Y930,1627,0930,1,Tower
1X1548Y930,1548,0930,1,Tower
1X1617Y825,1617,0825,1,Tower
1X1721Y970,1721,0970,1,Tower
1X1627Y1029,1627,1029,1,Tower
1X1605Y1029,1605,1029,1,Tower
1X1627Y1060,1627,1060,1,Tower
1X1758Y1060,1758,1060,1,Tower
1X1721Y956,1721,0956,1,Tower
1X1721Y931,1721,0931,1,Tower
1X1758Y956,1758,0956,1,Tower
1X1758Y1120,1758,1120,1,Tower
1X1700Y1120,1700,1120,1,Tower
1X1610Y1120,1610,1120,1,Tower
1X1700Y1158,1700,1158,1,Tower
1X1769Y1146,1769,1146,1,Tower
1X1794Y1146,1794,1146,1,Tower
1X1769Y1280,1769,1280,1,Tower
1X1845Y1250,1845,1250,1,Tower
1X1845Y1280,1845,1280,1,Tower
1X1965Y1280,1965,1280,1,Tower
1X1965Y1239,1965,1239,1,Tower
1X1947Y1239,1947,1239,1,Tower
1X2026Y1239,2026,1239,1,Tower
1X2066Y1239,2066,1239,1,Tower
1X2128Y1300,2128,1300,1,Tower
1X1748Y1280,1748,1280,1,Tower
2X1580Y2538,1580,2538,2,BTM
3X1648Y2968,1648,2968,3,BTM
1X1401Y2628,1401,2628,1,BTM
2X1395Y2674,1395,2674,2,BTM
1X1720Y2847,1720,2847,1,BTM
1X986Y2852,0986,2852,1,BTM
1X1534Y2777,1534,2777,1,BTM
2X1532Y2777,1532,2777,2,BTM
3X1539Y2773,1539,2773,3,BTM
L2X1630Y2742,1630,2742,L2,BTM
L2X1696Y2788,1696,2788,L2,BTM
1X1638Y2553,1638,2553,1,BTM
2X1591Y2560,1591,2560,2,BTM
3X1534Y2732,1534,2732,3,BTM
L2X1627Y2782,1627,2782,L2,BTM
1X1608Y2596,1608,2596,1,BTM
2X1590Y2604,1590,2604,2,BTM
3X1600Y2732,1600,2732,3,BTM
L2X1698Y2776,1698,2776,L2,BTM
1X1608Y2737,1608,2737,1,BTM
2X1590Y2745,1590,2745,2,BTM
3X1650Y2732,1650,2732,3,BTM
L2X1701Y2734,1701,2734,L2,BTM
1X1420Y2737,1420,2737,1,BTM
2X1528Y2745,1528,2745,2,BTM
3X1650Y2766,1650,2766,3,BTM
L2X1698Y2687,1698,2687,L2,BTM
1X1420Y2865,1420,2865,1,BTM
2X1398Y2745,1398,2745,2,BTM
3X1650Y2855,1650,2855,3,BTM
1X1678Y2865,1678,2865,1,BTM
2X1683Y2543,1683,2543,2,BTM
3X1580Y2858,1580,2858,3,BTM
1X1017Y2865,1017,2865,1,BTM
1X1532Y2739,1532,2739,1,BTM
1X1581Y2566,1581,2566,1,BTM
1X1605Y2568,1605,2568,1,BTM
L2X1681Y2747,1681,2747,L2,BTM
3X1611Y2678,1611,2678,3,BTM
L2X1667Y2682,1667,2682,L2,BTM
3X1671Y2695,1671,2695,3,BTM
1X1556Y2604,1556,2604,1,BTM
3X1552Y2854,1552,2854,3,BTM
1X1619Y2522,1619,2522,1,BTM
1X1642Y2596,1642,2596,1,BTM
2X1650Y2602,1650,2602,2,BTM
2X2150Y1025,2150,1025,2,45 Francis
2X2279Y786,2279,0786,2,45 Francis
2X2166Y1039,2166,1039,2,45 Francis
2X2385Y753,2385,0753,2,45 Francis
2X2439Y902,2439,0902,2,45 Francis
2X2623Y1018,2623,1018,2,45 Francis
2X2782Y1303,2782,1303,2,45 Francis
2X2945Y775,2945,0775,2,45 Francis
2X3155Y890,3155,0890,2,45 Francis
2X3257Y879,3257,0879,2,45 Francis
2X2238Y902,2238,0902,2,45 Francis
2X2279Y902,2279,0902,2,45 Francis
2X2238Y1028,2238,1028,2,45 Francis
2X2246Y1280,2246,1280,2,45 Francis
2X2385Y902,2385,0902,2,45 Francis
2X2605Y902,2605,0902,2,45 Francis
2X2672Y902,2672,0902,2,45 Francis
2X2605Y783,2605,0783,2,45 Francis
2X2330Y590,2330,0590,2,45 Francis
2X2713Y902,2713,0902,2,45 Francis
2X2912Y903,2912,0903,2,45 Francis
2X2945Y902,2945,0902,2,45 Francis
2X3135Y890,3135,0890,2,45 Francis
2X3296Y880,3296,0880,2,45 Francis
2X2672Y820,2672,0820,2,45 Francis
2X2721Y750,2721,0750,2,45 Francis
2X2945Y710,2945,0710,2,45 Francis
2X2610Y953,2610,0953,2,45 Francis
2X2678Y1032,2678,1032,2,45 Francis
2X2761Y1032,2761,1032,2,45 Francis
2X2841Y1032,2841,1032,2,45 Francis
2X2900Y985,2900,0985,2,45 Francis
2X2912Y963,2912,0963,2,45 Francis
2X3163Y945,3163,0945,2,45 Francis
2X3296Y945,3296,0945,2,45 Francis
2X3296Y1043,3296,1043,2,45 Francis
2X3063Y1043,3063,1043,2,45 Francis
2X2782Y1091,2782,1091,2,45 Francis
2X2782Y1165,2782,1165,2,45 Francis
2X2554Y1280,2554,1280,2,45 Francis
2X2554Y1472,2554,1472,2,45 Francis
2X2962Y963,2962,0963,2,45 Francis
2X3136Y963,3136,0963,2,45 Francis
2X2246Y1350,2246,1350,2,45 Francis
2X2945Y995,2945,0995,2,45 Francis
2X2177Y1010,2177,1010,2,45 Francis
2X2605Y841,2605,0841,2,45 Francis
2X2225Y1280,2225,1280,2,45 Francis
2X2554Y1389,2554,1389,2,45 Francis
2X2782Y1152,2782,1152,2,45 Francis
